Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2021;11;31.4;0.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.8;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2021;12;45.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;6.8;3.4;3.2;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;13.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;1;111.8;0.0;0.0;24.6;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;23.0;0.0;3.2;0.0;0.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;2;173.8;0.0;0.0;3.2;64.0;0.0;7.4;0.0;0.0;0.0;39.8;0.0;0.0;0.0;0.0;0.0;6.0;1.4;0.0;6.8;5.0;14.0;5.0;5.4;0.0;13.0;0.0;2.8;0.0;888.0;888.0;888.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;3;365.9;0.0;7.4;0.0;0.0;0.0;15.0;51.5;0.0;0.0;1.4;26.8;10.0;0.0;20.0;13.0;36.4;7.2;3.6;0.0;0.0;0.0;30.0;43.2;0.0;0.0;27.2;0.0;30.8;0.0;31.4;11.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;4;388.2;2.8;14.0;1.8;24.2;32.8;0.0;33.6;2.6;21.0;5.6;8.6;20.2;0.0;0.0;0.0;0.0;0.0;40.0;3.4;0.0;0.0;8.6;17.8;41.2;15.8;0.0;23.4;10.0;60.8;0.0;888.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;5;449.1;25.0;24.2;23.6;20.0;9.4;5.2;14.4;11.8;30.4;0.0;5.4;12.0;2.0;9.6;4.2;0.0;2.1;0.0;0.0;0.0;0.0;74.6;62.2;0.0;49.0;2.0;15.4;3.6;40.2;2.8;0.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;6;235.4;12.6;15.4;14.6;1.2;40.4;10.0;19.8;0.0;5.2;28.4;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;30.0;2.0;3.2;4.6;9.0;0.0;0.0;0.0;9.2;888.0
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;7;201.8;0.0;16.4;20.4;28.0;20.6;0.0;23.4;19.8;15.2;0.0;1.8;0.0;0.0;0.0;2.6;0.0;0.0;0.0;0.0;1.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.6
Baturité;HOTEL VALE DAS NUVENS;-4.2668888888889;-38.917138888889;2022;8;58.8;0.0;0.0;35.2;19.0;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
