Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2025;10;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2025;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2025;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2026;1;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2026;2;39.0;0.0;0.0;0.0;2.0;9.0;4.0;6.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;888.0;888.0;888.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2026;3;203.0;85.0;3.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;8.0;7.0;86.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2026;4;169.0;0.0;5.0;6.0;0.0;8.0;4.0;0.0;0.0;0.0;11.0;0.0;0.0;5.0;0.0;16.0;0.0;0.0;0.0;35.0;0.0;25.0;26.0;0.0;9.0;0.0;0.0;0.0;0.0;19.0;0.0;888.0
Jaguaruana;CÓRREGO DO MACHADO;-4.9072222222222;-37.782777777778;2026;5;183.0;11.0;35.0;27.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;15.0;0.0;9.0;0.0;0.0;0.0;47.0;15.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
