Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;1;65.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;2;261.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0.0;6.0;0.0;0.0;9.0;4.0;47.0;0.0;20.0;16.0;2.0;16.0;0.0;9.0;0.0;0.0;26.0;10.0;27.0;0.0;888.0;888.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;3;265.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;11.0;0.0;2.0;0.0;20.0;7.0;68.0;15.0;14.0;22.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;0.0;45.0;0.0;0.0;42.0;2.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;4;457.0;30.0;10.0;12.0;0.0;29.0;3.0;5.0;0.0;0.0;58.0;12.0;19.0;0.0;29.0;0.0;7.0;5.0;0.0;12.0;73.0;0.0;12.0;38.0;7.0;0.0;0.0;65.0;0.0;0.0;31.0;888.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;5;166.0;0.0;0.0;0.0;9.0;4.0;0.0;0.0;0.0;9.0;0.0;0.0;20.0;19.0;0.0;7.0;4.0;22.0;0.0;0.0;8.0;0.0;0.0;0.0;10.0;0.0;12.0;0.0;0.0;7.0;35.0;0.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;6;177.0;0.0;0.0;13.0;0.0;16.0;5.0;10.0;0.0;19.0;5.0;0.0;0.0;0.0;21.0;0.0;26.0;8.0;0.0;0.0;7.0;0.0;0.0;15.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;7;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Baturité;SÍTIO SANTA ISABEL;-4.3416666666667;-38.945;2024;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
