Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;1;47.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;41.5;0.0;0.0;0.0;0.0;0.0;0.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;2;151.0;0.0;0.0;1.0;0.0;0.0;11.5;7.5;0.0;0.0;0.0;0.0;24.0;0.0;17.0;0.0;0.0;0.0;0.0;16.0;0.0;46.0;0.0;0.0;0.0;0.0;15.5;12.5;0.0;888.0;888.0;888.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;3;176.2;0.0;20.0;0.0;0.0;17.0;0.0;13.0;6.0;12.0;42.0;0.0;22.0;0.0;0.0;0.0;0.0;19.2;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;4;187.0;0.0;0.0;23.0;0.0;0.0;17.2;10.0;0.0;0.0;0.0;7.6;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;11.6;12.0;0.0;0.0;70.6;0.0;0.0;888.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;5;41.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.2;0.0;0.0;0.0;0.0;0.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;6;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;11.6;0.0;23.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;7;40.2;0.0;24.2;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Tururu;SÃO PEDRO DO GAVIÃO;-3.5202777777778;-39.351944444444;2025;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
