Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;4;52.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;3.0;9.0;0.0;0.0;0.0;7.0;6.0;2.0;8.0;9.0;8.0;0.0;999.0;999.0;999.0;888.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;5;56.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;3.0;9.0;0.0;0.0;0.0;7.0;6.0;2.0;9.0;9.0;8.0;0.0;0.0;0.0;0.0;3.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;6;147.0;9.0;0.0;4.0;3.0;10.0;4.0;2.0;0.0;0.0;0.0;4.0;14.0;3.0;0.0;0.0;4.0;7.0;0.0;0.0;0.0;13.2;14.0;0.0;2.8;0.0;0.0;0.0;10.0;31.0;12.0;888.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;7;22.0;4.6;7.8;0.0;0.0;0.0;0.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;8;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2025;12;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2026;1;203.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;70.2;64.8;65.4;0.0;0.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2026;2;135.4;0.0;0.0;0.0;0.0;3.4;0.0;16.8;0.0;26.4;2.4;0.0;0.0;0.0;2.4;18.4;5.8;16.4;24.4;0.0;0.0;2.4;0.0;0.0;6.4;0.0;0.0;0.0;10.2;888.0;888.0;888.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2026;3;155.4;16.4;0.0;40.4;20.2;16.4;10.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.2;20.4;0.0;0.0;16.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6;0.0;0.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2026;4;303.4;4.2;0.0;10.4;8.2;8.4;14.2;12.4;4.6;0.0;20.4;10.6;12.4;8.4;16.0;6.8;0.0;0.0;0.0;86.4;10.2;12.0;0.0;4.6;0.0;0.0;0.0;10.2;12.4;6.2;24.4;888.0
Caucaia;ESCOLA MARIA LUIZA;-3.78225;-38.686805555556;2026;5;174.8;28.0;0.0;54.4;40.4;0.0;0.0;0.0;2.4;4.6;6.0;0.0;0.0;0.0;0.0;0.0;12.4;8.6;18.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
