Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;1;104.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;9.6;37.4;8.4;0.0;0.0;0.0;19.0;0.0;0.0;6.0;0.5;0.0;5.8;16.2;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;2;82.8;0.0;0.0;0.0;0.0;0.0;10.6;27.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4;0.0;18.8;0.0;0.0;21.4;888.0;888.0;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;3;88.4;16.8;6.8;4.2;5.4;0.0;0.0;0.0;0.0;0.0;11.6;5.4;0.0;0.0;6.0;11.8;6.8;3.6;7.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;4;107.6;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;6.2;10.8;0.0;13.0;15.0;0.0;0.0;0.0;0.0;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;5;103.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.2;0.0;0.0;0.0;0.0;0.0;0.0;5.8;0.0;14.4;0.0;20.4;4.0;37.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;6;97.8;4.8;0.0;0.0;0.0;4.4;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;65.4;5.0;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;7;36.6;3.0;16.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.4;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2025;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2026;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2026;2;197.0;0.0;0.0;0.0;0.0;0.0;0.0;8.4;14.2;13.2;0.0;0.0;9.0;9.2;2.0;48.2;23.4;0.0;48.2;0.0;0.0;13.0;0.0;0.0;0.0;8.2;0.0;0.0;0.0;888.0;888.0;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2026;3;91.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.2;0.0;24.0;23.0;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;8.2;8.2
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2026;4;197.6;3.2;0.0;0.0;0.0;23.0;41.8;0.0;15.0;0.0;0.0;0.0;0.0;0.0;1.8;11.0;21.0;0.0;0.0;33.0;1.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;23.0;3.8;888.0
Quixeramobim;SOP - Quixeramobim;-5.1909444444444;-39.276472222222;2026;5;50.8;0.0;5.8;12.6;0.0;0.0;0.0;0.0;0.0;5.0;4.0;0.0;0.0;16.0;0.0;0.0;0.0;7.4;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
